X            Cos(X)       Sin(X)       Tg(X)        Ctg(X)       Ln(X)        Ln2(X)       Ln3(X)       Sec(X)       Csc(X)       Fn(X)        
0,10         1,00(X)      0,10(X)      2,00(X)      9,97(X)      -2,30(X)     -3,32(X)     -2,10(X)     1,01(X)      10,02(X)     -10151970560,94(X)   
0,20         0,98(X)      0,20(X)      2,00(X)      4,93(X)      -1,61(X)     -2,32(X)     -1,46(X)     1,02(X)      5,03(X)      -47144218,94(X)   
0,30         0,96(X)      0,30(X)      2,00(X)      3,23(X)      -1,20(X)     -1,74(X)     -1,10(X)     1,05(X)      3,38(X)      -606130,25(X)   
0,40         0,92(X)      0,39(X)      2,00(X)      2,37(X)      -0,92(X)     -1,32(X)     -0,83(X)     1,09(X)      2,57(X)      -10089,05(X)   
0,50         0,88(X)      0,48(X)      2,00(X)      1,83(X)      -0,69(X)     -1,00(X)     -0,63(X)     1,14(X)      2,09(X)      -153,99(X)   
0,60         0,83(X)      0,56(X)      2,00(X)      1,46(X)      -0,51(X)     -0,74(X)     -0,46(X)     1,21(X)      1,77(X)      -2,04(X)     
0,70         0,76(X)      0,64(X)      2,00(X)      1,19(X)      -0,36(X)     -0,51(X)     -0,32(X)     1,31(X)      1,55(X)      -0,33(X)     
0,80         0,70(X)      0,72(X)      2,00(X)      0,97(X)      -0,22(X)     -0,32(X)     -0,20(X)     1,44(X)      1,39(X)      -0,20(X)     
0,90         0,62(X)      0,78(X)      2,00(X)      0,79(X)      -0,11(X)     -0,15(X)     -0,10(X)     1,61(X)      1,28(X)      -0,10(X)     
1,00         0,54(X)      0,84(X)      2,00(X)      0,64(X)      -0,00(X)     -0,00(X)     -0,00(X)     1,85(X)      1,19(X)      -0,00(X)     
